88,141,146,157
178,142,236,157
412,142,486,157
331,143,397,157
148,143,175,157
243,144,276,158
296,144,329,158
278,145,301,158
685,182,729,196
729,182,768,196
769,182,799,196
460,182,522,197
795,182,853,197
612,183,655,196
554,183,610,197
519,183,555,196
393,183,426,196
108,183,156,196
195,183,247,197
352,183,383,195
160,183,189,197
643,183,688,195
429,184,458,196
251,184,286,196
288,184,318,196
319,184,352,196
106,201,163,218
161,202,182,218
382,203,437,219
251,203,285,218
286,203,338,218
340,203,377,218
552,204,616,217
1293,204,1355,218
720,204,744,218
809,204,843,218
746,204,773,218
630,204,664,217
773,204,809,218
670,204,716,218
439,204,485,218
879,204,935,218
488,204,520,218
217,204,250,218
187,204,221,218
1080,205,1109,217
995,205,1018,217
1106,205,1156,218
1356,205,1389,217
1156,205,1192,218
525,205,552,218
841,205,881,217
1458,205,1510,218
941,205,965,219
1260,206,1291,217
1025,206,1050,217
965,206,994,218
1227,206,1256,218
1395,206,1424,217
1193,206,1228,218
1426,206,1455,219
1054,207,1083,219
240,225,277,241
375,225,419,241
193,226,238,241
301,226,346,243
105,226,139,241
353,226,374,242
133,227,162,243
163,227,187,240
774,247,816,263
705,247,770,264
288,247,317,264
550,247,583,264
918,248,971,264
1047,248,1113,264
481,248,550,264
623,248,654,264
103,248,157,264
850,248,880,265
1266,248,1312,264
592,248,619,265
346,250,396,264
433,250,483,264
396,250,442,264
968,250,1019,265
1365,250,1393,264
1186,250,1234,264
881,250,916,265
657,250,693,264
1112,250,1147,263
813,250,849,264
1312,250,1363,265
1386,250,1455,264
231,250,288,263
1151,250,1191,265
1234,250,1262,264
321,250,350,264
1023,250,1053,264
186,250,231,263
158,250,182,263
319,270,360,286
1378,270,1448,287
852,270,880,285
821,270,849,285
1215,270,1238,287
1151,270,1210,286
263,270,312,286
141,270,176,286
105,270,139,285
221,271,261,286
541,271,601,287
395,271,472,287
898,271,948,286
667,271,720,286
479,271,523,286
968,271,1020,287
1322,271,1372,287
191,271,219,285
1449,272,1479,286
1479,272,1506,286
789,272,817,286
1099,272,1144,286
599,272,627,286
364,272,394,286
1241,272,1269,286
1072,272,1103,286
724,272,775,287
627,272,662,285
1270,272,1307,286
769,272,799,288
947,272,976,287
1040,273,1075,286
1019,273,1047,287
520,273,546,287
152,293,227,310
108,293,131,308
368,332,483,346
178,333,260,346
87,333,152,346
314,333,365,347
282,333,313,346
149,333,181,347
245,333,284,347
